iter	Passed	Remaining
0	9	9286
1	16	8405
2	25	8344
3	31	7891
4	70	13958
5	78	12979
6	85	12143
7	93	11613
8	286	31510
9	294	29160
10	340	30585
11	347	28643
12	355	26954
13	514	36231
14	614	40323
15	692	42558
16	696	40250
17	752	41055
18	760	39276
19	785	38487
20	822	38334
21	829	36875
22	833	35391
23	838	34089
24	840	32798
25	844	31623
26	847	30524
27	850	29527
28	853	28583
29	856	27705
30	859	26880
31	863	26131
32	867	25433
33	871	24750
34	873	24089
35	877	23484
36	880	22928
37	884	22387
38	887	21871
39	890	21383
40	895	20942
41	898	20503
42	901	20064
43	904	19654
44	908	19276
45	911	18911
46	915	18553
47	918	18208
48	923	17924
49	927	17620
50	930	17315
51	933	17017
52	938	16777
53	942	16512
54	945	16249
55	949	15998
56	952	15757
57	955	15518
58	958	15289
59	961	15070
60	965	14866
61	968	14653
62	972	14462
63	975	14268
64	979	14090
65	983	13911
66	986	13730
67	989	13560
68	993	13403
69	996	13244
70	999	13082
71	1002	12925
72	1007	12797
73	1011	12656
74	1014	12512
75	1017	12375
76	1021	12244
77	1026	12128
78	1028	11994
79	1032	11869
80	1035	11746
81	1039	11635
82	1043	11531
83	1046	11416
84	1049	11302
85	1053	11199
86	1057	11098
87	1060	10987
88	1063	10886
89	1066	10784
90	1070	10692
91	1074	10602
92	1077	10507
93	1080	10417
94	1085	10341
95	1089	10256
96	1093	10175
97	1096	10092
98	1099	10003
99	1102	9926
100	1106	9847
101	1110	9773
102	1114	9702
103	1117	9630
104	1121	9555
105	1124	9482
106	1127	9412
107	1130	9340
108	1134	9270
109	1137	9206
110	1141	9140
111	1144	9076
112	1152	9042
113	1155	8979
114	1158	8915
115	1161	8852
116	1165	8793
117	1168	8733
118	1171	8676
119	1175	8616
120	1177	8557
121	1183	8514
122	1186	8461
123	1190	8407
124	1192	8347
125	1195	8293
126	1199	8247
127	1202	8194
128	1205	8140
129	1209	8091
130	1213	8047
131	1216	7996
132	1219	7950
133	1224	7914
134	1229	7880
135	1233	7837
136	1237	7796
137	1240	7749
138	1244	7707
139	1249	7676
140	1253	7636
141	1259	7607
142	1263	7570
143	1266	7528
144	1269	7486
145	1273	7450
146	1278	7416
147	1281	7377
148	1285	7339
149	1288	7303
150	1291	7263
151	1295	7225
152	1298	7188
153	1302	7156
154	1306	7120
155	1311	7093
156	1314	7057
157	1317	7023
158	1320	6986
159	1323	6949
160	1327	6915
161	1330	6880
162	1334	6850
163	1336	6813
164	1340	6785
165	1343	6749
166	1347	6720
167	1350	6687
168	1353	6657
169	1357	6628
170	1361	6600
171	1364	6569
172	1367	6536
173	1370	6506
174	1388	6544
175	1394	6528
176	1398	6501
177	1401	6470
178	1406	6450
179	1409	6422
180	1412	6392
181	1415	6362
182	1420	6343
183	1423	6313
184	1426	6284
185	1429	6254
186	1432	6228
187	1443	6235
188	1447	6210
189	1451	6189
190	1454	6161
191	1457	6135
192	1460	6107
193	1464	6084
194	1469	6067
195	1473	6045
196	1478	6024
197	1480	5998
198	1484	5977
199	1487	5951
200	1491	5927
201	1495	5906
202	1498	5884
203	1501	5860
204	1505	5836
205	1528	5890
206	1533	5873
207	1537	5853
208	1540	5831
209	1543	5807
210	1547	5785
211	1550	5762
212	1562	5774
213	1567	5755
214	1570	5732
215	1573	5709
216	1587	5728
217	1590	5705
218	1593	5682
219	1597	5662
220	1600	5641
221	1603	5618
222	1606	5598
223	1610	5580
224	1614	5561
225	1617	5540
226	1620	5518
227	1623	5497
228	1626	5476
229	1641	5496
230	1644	5475
231	1647	5453
232	1650	5431
233	1652	5409
234	1656	5390
235	1659	5372
236	1662	5352
237	1666	5334
238	1669	5315
239	1672	5296
240	1675	5276
241	1678	5256
242	1680	5236
243	1685	5221
244	1688	5202
245	1692	5186
246	1694	5166
247	1698	5149
248	1700	5129
249	1703	5111
250	1707	5094
251	1711	5080
252	1714	5062
253	1718	5046
254	1721	5030
255	1725	5013
256	1729	4999
257	1732	4983
258	1736	4966
259	1739	4950
260	1744	4939
261	1747	4922
262	1750	4905
263	1753	4888
264	1756	4873
265	1759	4855
266	1762	4837
267	1764	4820
268	1767	4802
269	1770	4787
270	1773	4771
271	1776	4754
272	1779	4738
273	1781	4721
274	1785	4705
275	1787	4690
276	1790	4673
277	1793	4657
278	1795	4641
279	1798	4624
280	1803	4613
281	1805	4597
282	1808	4582
283	1811	4567
284	1814	4552
285	1817	4537
286	1820	4521
287	1822	4506
288	1825	4490
289	1828	4476
290	1832	4463
291	1835	4450
292	1837	4434
293	1840	4419
294	1843	4405
295	1846	4392
296	1849	4377
297	1852	4363
298	1854	4348
299	1857	4334
300	1860	4321
301	1864	4308
302	1867	4295
303	1869	4280
304	1873	4268
305	1875	4254
306	1879	4241
307	1882	4229
308	1885	4215
309	1888	4203
310	1891	4189
311	1893	4176
312	1897	4165
313	1900	4151
314	1903	4139
315	1906	4127
316	1909	4114
317	1912	4102
318	1915	4088
319	1919	4078
320	1922	4066
321	1925	4054
322	1929	4043
323	1933	4034
324	1936	4022
325	1940	4011
326	1944	4002
327	1948	3992
328	1951	3980
329	1954	3968
330	1958	3958
331	1964	3952
332	1967	3941
333	1971	3930
334	1974	3919
335	1980	3914
336	1983	3901
337	1987	3892
338	1991	3883
339	1998	3879
340	2002	3869
341	2005	3859
342	2008	3847
343	2013	3839
344	2018	3831
345	2022	3822
346	2027	3815
347	2031	3805
348	2036	3798
349	2040	3789
350	2045	3781
351	2049	3773
352	2053	3763
353	2058	3756
354	2062	3747
355	2067	3739
356	2070	3729
357	2074	3719
358	2080	3715
359	2084	3705
360	2087	3695
361	2093	3690
362	2097	3681
363	2100	3670
364	2104	3661
365	2109	3654
366	2113	3644
367	2116	3634
368	2120	3626
369	2138	3641
370	2141	3631
371	2144	3620
372	2147	3610
373	2150	3599
374	2154	3591
375	2157	3581
376	2161	3571
377	2163	3560
378	2166	3550
379	2171	3542
380	2173	3531
381	2176	3521
382	2179	3510
383	2182	3500
384	2185	3490
385	2188	3480
386	2190	3470
387	2193	3459
388	2196	3450
389	2199	3440
390	2202	3429
391	2205	3420
392	2207	3410
393	2211	3400
394	2213	3390
395	2217	3381
396	2219	3371
397	2222	3361
398	2225	3352
399	2228	3342
